Cidade,Jan.,Fev.,Mar.,Abr.,Mai.,Jun.,Jul.,Ago.,Set.,Out.,Total.
ABADIA DOS DOURADOS,"13357,19","121679,33","1839,46","629,68","2143,11","637,07","23237,41","9535,31","2250,95","2299,39","177608,9"
ABRE CAMPO, ,"6801,62", ,"2157,04","1237,31", ,"3888,64","3627,25","16400,78","4456,36","38569,01"
ACAIACA,"42424,46","47443,64","41879,21","25177,32","27681,76","45170,08","22992,41","14123,76","25724,17","42877,69","335494,5"
ÁGUA COMPRIDA, , , ,"4297,52", , ,"2978,89", , , ,"7276,4"
AIMORÉS,"3902,21","2403,01","3221,44","4794,23","1357,42","3593,74","1724,14","2481,38","2882,51","2897,56","29257,63"
AIURUOCA,"281,76","231,82","265,38","187,02","196,8","324,6","317,73","359,4","183,37","231,02","2578,9"
ALÉM PARAÍBA,"1117,12","253,17","926,1","91,82","1205,72","1147,49","1134,05","82,69",1180,"1180,27","8318,44"
ALFENAS,"235,36","22186,07","8017,3","9511,71","11871,13","13513,28","11977,22","9906,77","12241,45","9472,93","108933,2"
ALMENARA,"1692,7","1018,43","149,68","2201,91","3155,03","1883,39","1224,54","4536,26","9320,57","2298,41","27480,91"
ALPERCATA,"5372,48","6622,63","6164,94","10791,91","10321,03","15782,3","14030,7","16431,51","15702,35","15777,72","116997,57"
ALPINÓPOLIS,"674,32","662,97","1406,75","1695,18","1348,13","884,02","591,85","674,85","639,09","519,86","9097,01"
ALTEROSA,"144,79", ,"245,81", , , , , , , ,"390,61"
ALTO CAPARAÓ, ,"7,33", , ,"278,63", ,"123,82","117,49", , ,"527,27"
ALTO RIO DOCE, , , , , ,"7,92","7,2",12,"10,8", ,"37,92"
ALVINÓPOLIS,"7399,48","14495,92","5406,05","10436,48","14917,53","17465,48","19968,26","12649,32","12548,39","27381,7","142668,62"
ALVORADA DE MINAS, , , ,"4564,36", , , , , , ,"4564,36"
ANDRADAS,"264,37","4084,03","471,79","335,44","297,24","255,53","1563,92","365,96","1041,38","660,5","9340,17"
ANDRELÂNDIA,"44,14", ,"1631,89", , , , , , , ,"1676,03"
ANTÔNIO CARLOS, ,"238,52", ,"187,52", ,"238,22", ,"126,08","237,51", ,"1027,85"
ANTÔNIO DIAS,"1297189,66","1502752,35","1884045,14","1211641,95","1506709,45","1451848,14","1698904,25","1898259,31","2218445,1","1700302,4","16370097,75"
